ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.037021-5.1,37.8,37.8,Operação,100% para ENEL GREEN POWER CUMARU 05 S.A - 31.210.772/0001-81 (PIE)
EOL.CV.RN.037070-3.1,50.4,0.0,Construção não iniciada,100% para ELAWAN EÓLICA RIO GRANDE DO NORTE S.A. - 32.118.270/0001-98 (PIE)
EOL.CV.RN.037073-8.1,76.23,76.23,Operação,100% para VENTOS DE SAO FERNANDO I ENERGIA S.A - 23.008.029/0001-15 (PIE)
EOL.CV.RN.037075-4.1,72.765,72.765,Operação,100% para VENTOS DE SAO FERNANDO II ENERGIA S.A. - 32.132.033/0001-81 (PIE)
EOL.CV.RN.037076-2.1,24.255,24.255,Operação,100% para VENTOS DE SAO FERNANDO III ENERGIA S.A - 32.671.163/0001-92 (PIE)
EOL.CV.RN.037077-0.1,83.16,83.16,Operação,100% para VENTOS DE SAO FERNANDO IV ENERGIA S.A. - 33.701.101/0001-49 (PIE)
EOL.CV.RN.037294-3.1,29.4,29.4,Operação,100% para CENTRAL EOLICA JERUSALEM I S.A. - 30.785.922/0001-12 (PIE)
EOL.CV.RN.037295-1.1,29.4,29.4,Operação,100% para CENTRAL EOLICA JERUSALEM II S.A. - 30.798.864/0001-61 (PIE)
EOL.CV.RN.037296-0.1,29.4,29.4,Operação,100% para CENTRAL EOLICA JERUSALEM III S.A. - 31.231.701/0001-65 (PIE)
EOL.CV.RN.037297-8.1,29.4,29.4,Operação,100% para CENTRAL EOLICA JERUSALEM IV S.A. - 31.207.208/0001-00 (PIE)
EOL.CV.RN.037298-6.1,29.4,29.4,Operação,100% para CENTRAL EOLICA JERUSALEM V S.A. - 31.207.206/0001-10 (PIE)
EOL.CV.RN.037299-4.1,33.6,33.6,Operação,100% para CENTRAL EOLICA JERUSALEM VI S.A. - 31.190.337/0001-32 (PIE)
EOL.CV.RN.037663-9.1,33.6,33.6,Operação,100% para CENTRAL EOLICA SRMN IV S.A. - 29.507.214/0001-30 (PIE)
EOL.CV.RN.037664-7.1,25.2,25.2,Operação,100% para CENTRAL EOLICA SRMN V S.A. - 30.486.147/0001-02 (PIE)
EOL.CV.RN.037949-2.1,29.4,29.4,Operação,100% para CENTRAL EOLICA AVENTURA IV S.A. - 28.525.891/0001-19 (PIE)
EOL.CV.RN.037950-6.1,29.4,29.4,Operação,100% para CENTRAL EOLICA AVENTURA V S.A. - 28.946.365/0001-22 (PIE)
EOL.CV.RN.037959-0.1,28.4,28.4,Operação,100% para SPE COSTA DAS DUNAS ENERGIA S.A. - 10.401.225/0001-03 (PIE)
EOL.CV.RN.037999-9.1,24.85,24.85,Operação,100% para SPE FAROL DE TOUROS ENERGIA S.A. - 10.369.836/0001-11 (PIE)
EOL.CV.RN.038002-4.1,10.65,10.65,Operação,100% para SPE FIGUEIRA BRANCA ENERGIA LTDA. - 09.665.352/0001-30 (PIE)
EOL.CV.RN.038006-7.1,17.75,17.75,Operação,100% para SPE GAMELEIRA ENERGIA LTDA. - 07.099.001/0001-84 (PIE)
EOL.CV.RN.038035-0.1,46.2,46.2,Operação,100% para CENTRAL EOLICA MONTE VERDE IV S.A - 31.199.598/0001-13 (PIE)
EOL.CV.RN.038140-3.1,37.8,37.8,Operação,100% para VILA RIO GRANDE DO NORTE 2 EMPREENDIMENTOS E PARTICIPACOES S.A. - 29.320.977/0001-78 (PIE)
EOL.CV.RN.038141-1.1,25.2,25.2,Operação,100% para VILA RIO GRANDE DO NORTE 1 EMPREENDIMENTOS E PARTICIPACOES S.A. - 29.401.264/0001-39 (PIE)
EOL.CV.RN.038142-0.1,37.8,37.8,Operação,100% para VILA SERGIPE 1 EMPREENDIMENTOS E PARTICIPACOES S.A. - 29.330.011/0001-11 (PIE)
EOL.CV.RN.038143-8.1,37.8,37.8,Operação,100% para VILA SERGIPE 2 EMPREENDIMENTOS E PARTICIPACOES S.A. - 30.321.925/0001-03 (PIE)
EOL.CV.RN.038144-6.1,16.8,16.8,Operação,100% para VILA SERGIPE 3 EMPREENDIMENTOS E PARTICIPACOES S.A. - 30.311.178/0001-14 (PIE)
EOL.CV.RN.038310-4.1,63.0,63.0,Operação,100% para VENTOS DE SANTA AMÉLIA ENERGIAS RENOVÁVEIS S/A - 29.845.768/0001-48 (PIE)
EOL.CV.RN.038318-0.1,63.0,63.0,Operação,100% para VENTOS DE SANTO ARTUR ENERGIAS RENOVAVEIS S/A - 29.845.721/0001-84 (PIE)
EOL.CV.RN.038319-8.1,63.0,63.0,Operação,100% para VENTOS DE SANTA ALICE ENERGIAS RENOVÁVEIS S/A - 29.845.784/0001-30 (PIE)
EOL.CV.RN.038320-1.1,63.0,63.0,Operação,100% para VENTOS DE SÃO FELIPE ENERGIAS RENOVÁVEIS S/A - 29.845.761/0001-26 (PIE)
EOL.CV.RN.038321-0.1,63.0,63.0,Operação,100% para VENTOS DE SÃO MIZAEL ENERGIAS RENOVÁVEIS S/A - 29.845.751/0001-90 (PIE)
EOL.CV.RN.038322-8.1,67.2,67.2,Operação,100% para VENTOS DE SANTA SARA ENERGIAS RENOVÁVEIS S/A - 29.845.794/0001-76 (PIE)
EOL.CV.RN.038323-6.1,63.0,63.0,Operação,100% para VENTOS DE SANTA SOFIA ENERGIAS RENOVAVEIS S/A - 29.845.733/0001-09 (PIE)
EOL.CV.RN.038325-2.1,31.95,31.95,Operação,100% para EOL POTIGUAR B141 SPE S.A - 30.097.726/0001-55 (PIE)
EOL.CV.RN.038326-0.1,31.95,31.95,Operação,100% para EOL POTIGUAR B142 SPE S.A - 31.004.703/0001-11 (PIE)
